Device Intialization started * 05-04-2025 12:42:54.265
Command Sent SET TEMPERATURE - #0,10,37*84ca  * 05-04-2025 12:42:54.558
CRC-Response  - 0,10,F000*1ae9 * 05-04-2025 12:42:54.788
Command Sent WATER VALVE - 1 CONTROL ON - #1,13,1,1*7feb  * 05-04-2025 12:42:56.131
CRC-Response  - 1,13,F000*b9e4 * 05-04-2025 12:43:11.372
Command Sent WATER VALVE - 2 CONTROL ON - #2,13,2,1*6a5b  * 05-04-2025 12:43:11.854
CRC-Response  - 2,13,F000*49f0 * 05-04-2025 12:43:12.69
Command Sent WATER VALVE - 3 CONTROL ON - #3,13,3,1*66cb  * 05-04-2025 12:43:12.874
CRC-Response  - 3,13,F000*d9fd * 05-04-2025 12:43:13.87
Command Sent WATER VALVE - 4 CONTROL ON - #4,13,4,1*413b  * 05-04-2025 12:43:13.751
CRC-Response  - 4,13,F000*e9db * 05-04-2025 12:43:13.967
Command Sent WATER VALVE - 5 CONTROL ON - #5,13,5,1*4dab  * 05-04-2025 12:43:14.639
CRC-Response  - 5,13,F000*79d6 * 05-04-2025 12:43:14.846
Command Sent WATER VALVE - 6 CONTROL ON - #6,13,6,1*581b  * 05-04-2025 12:43:15.498
CRC-Response  - 6,13,F000*89c2 * 05-04-2025 12:43:15.715
Command Sent Home Command - #7,5,01111111*7248  * 05-04-2025 12:43:16.400
CRC-Response  - 7,5,I001,01111111*9f02 * 05-04-2025 12:43:16.613
CRC-Response  - 7,5,F000*0b7a * 05-04-2025 12:43:16.618
Command Sent Home Command - #8,5,01111111*665c  * 05-04-2025 12:43:19.306
CRC-Response  - 8,5,I001,01111111*6c37 * 05-04-2025 12:43:19.522
CRC-Response  - 8,5,F000*4b3a * 05-04-2025 12:43:19.525
Command Sent Level Sensing For U1 - #9,4,61124,16380,0,0*18e8  * 05-04-2025 12:43:21.193
CRC-Response  - 9,4,I001*8238 * 05-04-2025 12:43:21.408
CRC-Response  - 9,4,F000,953*105f * 05-04-2025 12:43:25.534
U1 Value - 953 * 05-04-2025 12:43:25.565
Command Sent Level Sensing For U2 - #10,4,57494,16380,0,0*46e3  * 05-04-2025 12:43:26.118
CRC-Response  - 10,4,I001*82eb * 05-04-2025 12:43:26.332
CRC-Response  - 10,4,F000,957*5766 * 05-04-2025 12:43:28.615
U2 Value - 957 * 05-04-2025 12:43:28.636
Command Sent Level Sensing For U3 - #11,4,53864,16380,0,0*a6de  * 05-04-2025 12:43:28.990
CRC-Response  - 11,4,I001*4e2a * 05-04-2025 12:43:29.205
CRC-Response  - 11,4,F000,956*545a * 05-04-2025 12:43:31.498
U3 Value - 956 * 05-04-2025 12:43:31.520
Command Sent Level Sensing For U4 - #12,4,50234,16380,0,0*e78d  * 05-04-2025 12:43:31.874
CRC-Response  - 12,4,I001*5b6a * 05-04-2025 12:43:32.91
CRC-Response  - 12,4,F000,959*541e * 05-04-2025 12:43:34.372
U4 Value - 959 * 05-04-2025 12:43:34.395
Command Sent Level Sensing For U5 - #13,4,46604,16380,0,0*9d7d  * 05-04-2025 12:43:34.773
CRC-Response  - 13,4,I001*97ab * 05-04-2025 12:43:34.991
CRC-Response  - 13,4,F000,981*c1e6 * 05-04-2025 12:43:37.275
U5 Value - 981 * 05-04-2025 12:43:37.302
Command Sent Level Sensing For U6 - #14,4,42974,16380,0,0*e92c  * 05-04-2025 12:43:37.674
CRC-Response  - 14,4,I001*71ea * 05-04-2025 12:43:37.888
CRC-Response  - 14,4,F000,953*5b96 * 05-04-2025 12:43:40.176
U6 Value - 953 * 05-04-2025 12:43:40.199
Command Sent SET TEMPERATURE - #0,10,32*870a  * 05-04-2025 12:44:34.507
CRC-Response  - 0,10,F000*1ae9 * 05-04-2025 12:44:34.734
Command Sent HEATER ON - #1,12,1*dbe7  * 05-04-2025 12:44:35.911
CRC-Response  - 1,12,F000*68e5 * 05-04-2025 12:44:36.223
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 05-04-2025 12:44:36.901
CRC-Response  - 2,8,I001*fd79 * 05-04-2025 12:44:37.115
CRC-Response  - 2,8,F000*29bb * 05-04-2025 12:44:37.455
Command Sent READ TEMPERATURE - #3,11*ed1a  * 05-04-2025 12:44:37.783
CRC-Response  - 3,11,F000,447*d55f * 05-04-2025 12:44:38.2
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 05-04-2025 12:44:48.187
CRC-Response  - 4,13,F000*e9db * 05-04-2025 12:44:48.403
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 05-04-2025 12:44:49.91
CRC-Response  - 5,13,F000*79d6 * 05-04-2025 12:44:49.307
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 05-04-2025 12:44:49.991
CRC-Response  - 6,13,F000*89c2 * 05-04-2025 12:44:50.208
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 05-04-2025 12:44:50.873
CRC-Response  - 7,13,F000*19cf * 05-04-2025 12:44:51.86
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 05-04-2025 12:44:51.739
CRC-Response  - 8,13,F000*e98e * 05-04-2025 12:44:51.952
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 05-04-2025 12:44:52.619
CRC-Response  - 9,13,F000*7983 * 05-04-2025 12:44:52.831
Command Sent Home Command - #10,5,01111111*2199  * 05-04-2025 12:44:53.496
CRC-Response  - 10,5,I001,01111111*c9ef * 05-04-2025 12:44:53.712
CRC-Response  - 10,5,F000*8728 * 05-04-2025 12:44:53.719
Command Sent Home Command - #11,5,01111111*e264  * 05-04-2025 12:44:56.404
CRC-Response  - 11,5,I001,01111111*59be * 05-04-2025 12:44:56.624
CRC-Response  - 11,5,F000*4be9 * 05-04-2025 12:44:56.627
