Command Sent SET TEMPERATURE - #0,10,32*870a  * 07-04-2025 16:26:51.990
CRC-Response  - 0,10,F000*1ae9 * 07-04-2025 16:26:52.255
Command Sent HEATER ON - #1,12,1*dbe7  * 07-04-2025 16:26:53.416
CRC-Response  - 1,12,F000*68e5 * 07-04-2025 16:26:53.633
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 07-04-2025 16:26:54.305
CRC-Response  - 2,8,I001*fd79 * 07-04-2025 16:26:54.514
CRC-Response  - 2,8,F000*29bb * 07-04-2025 16:26:54.854
Command Sent READ TEMPERATURE - #3,11*ed1a  * 07-04-2025 16:26:55.188
CRC-Response  - 3,11,F000,545*d48f * 07-04-2025 16:26:55.393
Command Sent READ TEMPERATURE - #4,11*991b  * 07-04-2025 16:27:14.354
CRC-Response  - 4,11,F000,545*9384 * 07-04-2025 16:27:14.567
Command Sent WATER VALVE - 1 CONTROL OFF - #5,13,1,0*4c2b  * 07-04-2025 16:27:25.558
CRC-Response  - 5,13,F000*79d6 * 07-04-2025 16:27:25.770
Command Sent WATER VALVE - 2 CONTROL OFF - #6,13,2,0*599b  * 07-04-2025 16:27:26.426
CRC-Response  - 6,13,F000*89c2 * 07-04-2025 16:27:26.637
Command Sent WATER VALVE - 3 CONTROL OFF - #7,13,3,0*550b  * 07-04-2025 16:27:27.306
CRC-Response  - 7,13,F000*19cf * 07-04-2025 16:27:27.518
Command Sent WATER VALVE - 4 CONTROL OFF - #8,13,4,0*d4fa  * 07-04-2025 16:27:28.174
CRC-Response  - 8,13,F000*e98e * 07-04-2025 16:27:28.384
Command Sent WATER VALVE - 5 CONTROL OFF - #9,13,5,0*d86a  * 07-04-2025 16:27:29.54
CRC-Response  - 9,13,F000*7983 * 07-04-2025 16:27:29.268
Command Sent WATER VALVE - 6 CONTROL OFF - #10,13,6,0*d849  * 07-04-2025 16:27:29.940
CRC-Response  - 10,13,F000*e4c2 * 07-04-2025 16:27:30.153
Command Sent Home Command - #11,5,01111111*e264  * 07-04-2025 16:27:30.817
CRC-Response  - 11,5,I001,01111111*59be * 07-04-2025 16:27:31.36
CRC-Response  - 11,5,F000*4be9 * 07-04-2025 16:27:31.44
Command Sent Home Command - #12,5,01111111*e660  * 07-04-2025 16:27:33.714
CRC-Response  - 12,5,I001,01111111*a94e * 07-04-2025 16:27:33.926
CRC-Response  - 12,5,F000*5ea9 * 07-04-2025 16:27:33.930
Command Sent Level Sensing For L1 - #13,4,17564,16380,0,0*94b5  * 07-04-2025 16:27:35.601
CRC-Response  - 13,4,I001*97ab * 07-04-2025 16:27:35.819
CRC-Response  - 13,4,F000,957*5362 * 07-04-2025 16:27:44.91
L1 Value - 957 * 07-04-2025 16:27:44.115
Command Sent Level Sensing For L2 - #14,4,13934,16380,0,0*e418  * 07-04-2025 16:27:44.477
CRC-Response  - 14,4,I001*71ea * 07-04-2025 16:27:44.694
CRC-Response  - 14,4,F000,961*6a17 * 07-04-2025 16:27:46.981
L2 Value - 961 * 07-04-2025 16:27:47.8
Command Sent Level Sensing For L3 - #15,4,10304,16380,0,0*153a  * 07-04-2025 16:27:47.385
CRC-Response  - 15,4,I001*bd2b * 07-04-2025 16:27:47.596
CRC-Response  - 15,4,F000,965*6aeb * 07-04-2025 16:27:49.886
L3 Value - 965 * 07-04-2025 16:27:49.904
Command Sent Home Command - #16,5,01111111*2991  * 07-04-2025 16:27:50.268
CRC-Response  - 16,5,I001,01111111*680c * 07-04-2025 16:27:50.475
CRC-Response  - 16,5,F000*ada8 * 07-04-2025 16:27:50.479
Command Sent Home Command - #17,5,01111111*ea6c  * 07-04-2025 16:27:52.144
CRC-Response  - 17,5,I001,01111111*f85d * 07-04-2025 16:27:52.361
CRC-Response  - 17,5,F000*6169 * 07-04-2025 16:27:52.366
Rack - 1Protocol Started * 07-04-2025 16:27:53.612
Command Sent Rack-1 Picked from L1 - #18,2,2,17564,16380,0,0*36a4  * 07-04-2025 16:27:53.851
CRC-Response  - 18,2,I001,2*4452 * 07-04-2025 16:27:54.59
CRC-Response  - 18,2,F000,2*7b03 * 07-04-2025 16:28:01.243
RA Picked Rack From L1 * 07-04-2025 16:28:01.246
Command Sent Rack-1 Placed in H1 - #19,3,2,2688,1000,0,1*0f97  * 07-04-2025 16:28:01.786
CRC-Response  - 19,3,I001,2*4dc2 * 07-04-2025 16:28:01.999
CRC-Response  - 19,3,F000,2*7293 * 07-04-2025 16:28:08.889
RA Placed Rack in H1 * 07-04-2025 16:28:08.892
Command Sent HEATER DOOR CLOSE - #20,8,1,0*2711  * 07-04-2025 16:28:09.792
CRC-Response  - 20,8,I001*beff * 07-04-2025 16:28:10.9
CRC-Response  - 20,8,F000*6a3d * 07-04-2025 16:28:10.349
Command Sent READ TEMPERATURE - #21,11*b506  * 07-04-2025 16:28:10.702
CRC-Response  - 21,11,F000,447*8fc3 * 07-04-2025 16:28:10.919
Command Sent READ TEMPERATURE - #22,11*f106  * 07-04-2025 16:28:21.91
CRC-Response  - 22,11,F000,447*4cc6 * 07-04-2025 16:28:21.304
Command Sent READ TEMPERATURE - #23,11*0d07  * 07-04-2025 16:28:30.652
CRC-Response  - 23,11,F000,-273*db6b * 07-04-2025 16:28:30.903
Command Sent READ TEMPERATURE - #24,11*7906  * 07-04-2025 16:28:31.473
CRC-Response  - 24,11,F000,545*8b1f * 07-04-2025 16:28:31.689
Command Sent READ TEMPERATURE - #25,11*8507  * 07-04-2025 16:28:41.872
CRC-Response  - 25,11,F000,545*0a1d * 07-04-2025 16:28:42.88
Command Sent READ TEMPERATURE - #26,11*c107  * 07-04-2025 16:28:52.261
CRC-Response  - 26,11,F000,545*c918 * 07-04-2025 16:28:52.473
Command Sent READ TEMPERATURE - #27,11*3d06  * 07-04-2025 16:29:02.662
CRC-Response  - 27,11,F000,545*481a * 07-04-2025 16:29:02.878
Command Sent READ TEMPERATURE - #28,11*2905  * 07-04-2025 16:29:18.48
CRC-Response  - 28,11,F000,545*470e * 07-04-2025 16:29:18.290
