Command Sent Home Command - #0,5,00111111*79ad  * 08-04-2025 14:21:44.115
CRC-Response  - 0,5,I001,00111111*6ea0 * 08-04-2025 14:21:44.436
CRC-Response  - 0,5,F000*ed3b * 08-04-2025 14:21:44.446
Command Sent Level Sensing For L1 - #1,4,17564,16380,0,0*36b4  * 08-04-2025 14:21:45.110
CRC-Response  - 1,4,I001*2439 * 08-04-2025 14:21:45.323
CRC-Response  - 1,4,F000,959*c83e * 08-04-2025 14:21:53.600
L1 Value - 959 * 08-04-2025 14:21:53.625
Command Sent Level Sensing For L2 - #2,4,13934,16380,0,0*76e8  * 08-04-2025 14:21:53.986
CRC-Response  - 2,4,I001*3179 * 08-04-2025 14:21:54.200
CRC-Response  - 2,4,F000,954*09fb * 08-04-2025 14:21:56.476
L2 Value - 954 * 08-04-2025 14:21:56.495
Command Sent Level Sensing For L3 - #3,4,10304,16380,0,0*87ca  * 08-04-2025 14:21:56.849
CRC-Response  - 3,4,I001*fdb8 * 08-04-2025 14:21:57.61
CRC-Response  - 3,4,F000,955*0ac7 * 08-04-2025 14:21:59.352
L3 Value - 955 * 08-04-2025 14:21:59.373
Command Sent Home Command - #4,5,01111111*764c  * 08-04-2025 14:21:59.713
CRC-Response  - 4,5,I001,01111111*6ff2 * 08-04-2025 14:21:59.925
CRC-Response  - 4,5,F000*1e3a * 08-04-2025 14:21:59.935
Command Sent Home Command - #5,5,01111111*b5b1  * 08-04-2025 14:22:01.602
CRC-Response  - 5,5,I001,01111111*ffa3 * 08-04-2025 14:22:01.816
CRC-Response  - 5,5,F000*d2fb * 08-04-2025 14:22:01.826
Command Sent SET TEMPERATURE - #0,10,32*870a  * 08-04-2025 14:23:48.999
CRC-Response  - 0,10,F000*1ae9 * 08-04-2025 14:23:49.518
Command Sent HEATER ON - #1,12,1*dbe7  * 08-04-2025 14:23:50.703
CRC-Response  - 1,12,F000*68e5 * 08-04-2025 14:23:50.914
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 08-04-2025 14:23:51.597
CRC-Response  - 2,8,I001*fd79 * 08-04-2025 14:23:51.807
CRC-Response  - 2,8,F000*29bb * 08-04-2025 14:23:52.146
Command Sent READ TEMPERATURE - #3,11*ed1a  * 08-04-2025 14:23:52.471
CRC-Response  - 3,11,F000,545*d48f * 08-04-2025 14:23:52.683
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 08-04-2025 14:24:07.862
CRC-Response  - 4,13,F000*e9db * 08-04-2025 14:24:08.170
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 08-04-2025 14:24:08.842
CRC-Response  - 5,13,F000*79d6 * 08-04-2025 14:24:09.55
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 08-04-2025 14:24:09.739
CRC-Response  - 6,13,F000*89c2 * 08-04-2025 14:24:09.951
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 08-04-2025 14:24:10.616
CRC-Response  - 7,13,F000*19cf * 08-04-2025 14:24:10.830
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 08-04-2025 14:24:11.550
CRC-Response  - 8,13,F000*e98e * 08-04-2025 14:24:11.759
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 08-04-2025 14:24:12.441
CRC-Response  - 9,13,F000*7983 * 08-04-2025 14:24:12.654
