Command Sent SET TEMPERATURE - #0,10,32*870a  * 09-04-2025 11:48:00.566
CRC-Response  - 0,10,F000*1ae9 * 09-04-2025 11:48:00.863
Command Sent HEATER ON - #1,12,1*dbe7  * 09-04-2025 11:48:02.51
CRC-Response  - 1,12,F000*68e5 * 09-04-2025 11:48:02.264
Command Sent HEATER DOOR CLOSE - #2,8,1,0*21eb  * 09-04-2025 11:48:02.952
CRC-Response  - 2,8,I001*fd79 * 09-04-2025 11:48:03.169
CRC-Response  - 2,8,F000*29bb * 09-04-2025 11:48:03.512
Command Sent READ TEMPERATURE - #3,11*ed1a  * 09-04-2025 11:48:03.841
CRC-Response  - 3,11,F000,545*d48f * 09-04-2025 11:48:04.59
Command Sent WATER VALVE - 1 CONTROL OFF - #4,13,1,0*80ea  * 09-04-2025 11:48:19.221
CRC-Response  - 4,13,F000*e9db * 09-04-2025 11:48:19.471
Command Sent WATER VALVE - 2 CONTROL OFF - #5,13,2,0*4cdb  * 09-04-2025 11:48:20.125
CRC-Response  - 5,13,F000*79d6 * 09-04-2025 11:48:20.342
Command Sent WATER VALVE - 3 CONTROL OFF - #6,13,3,0*99ca  * 09-04-2025 11:48:20.994
CRC-Response  - 6,13,F000*89c2 * 09-04-2025 11:48:21.209
Command Sent WATER VALVE - 4 CONTROL OFF - #7,13,4,0*94ba  * 09-04-2025 11:48:21.868
CRC-Response  - 7,13,F000*19cf * 09-04-2025 11:48:22.82
Command Sent WATER VALVE - 5 CONTROL OFF - #8,13,5,0*14ab  * 09-04-2025 11:48:22.783
CRC-Response  - 8,13,F000*e98e * 09-04-2025 11:48:23.2
Command Sent WATER VALVE - 6 CONTROL OFF - #9,13,6,0*d89a  * 09-04-2025 11:48:23.662
CRC-Response  - 9,13,F000*7983 * 09-04-2025 11:48:23.878
Command Sent Home Command - #10,5,01111111*2199  * 09-04-2025 11:48:24.549
CRC-Response  - 10,5,I001,01111111*c9ef * 09-04-2025 11:48:24.765
CRC-Response  - 10,5,F000*8728 * 09-04-2025 11:48:24.767
Command Sent Home Command - #11,5,01111111*e264  * 09-04-2025 11:48:27.449
CRC-Response  - 11,5,I001,01111111*59be * 09-04-2025 11:48:27.669
CRC-Response  - 11,5,F000*4be9 * 09-04-2025 11:48:27.674
Command Sent Level Sensing For L1 - #12,4,17564,16380,0,0*6888  * 09-04-2025 11:48:29.351
CRC-Response  - 12,4,I001*5b6a * 09-04-2025 11:48:29.567
CRC-Response  - 12,4,F000,963*a39e * 09-04-2025 11:48:37.853
L1 Value - 963 * 09-04-2025 11:48:37.878
Command Sent Level Sensing For L2 - #13,4,13934,16380,0,0*90ad  * 09-04-2025 11:48:38.275
CRC-Response  - 13,4,I001*97ab * 09-04-2025 11:48:38.494
CRC-Response  - 13,4,F000,959*97e3 * 09-04-2025 11:48:40.775
L2 Value - 959 * 09-04-2025 11:48:40.793
Command Sent Level Sensing For L3 - #14,4,10304,16380,0,0*e907  * 09-04-2025 11:48:41.168
CRC-Response  - 14,4,I001*71ea * 09-04-2025 11:48:41.383
CRC-Response  - 14,4,F000,963*ab96 * 09-04-2025 11:48:43.664
L3 Value - 963 * 09-04-2025 11:48:43.683
Command Sent Home Command - #15,5,01111111*2d95  * 09-04-2025 11:48:44.53
CRC-Response  - 15,5,I001,01111111*98fc * 09-04-2025 11:48:44.272
CRC-Response  - 15,5,F000*b8e8 * 09-04-2025 11:48:44.276
Command Sent Home Command - #16,5,01111111*2991  * 09-04-2025 11:48:45.946
CRC-Response  - 16,5,I001,01111111*680c * 09-04-2025 11:48:46.161
CRC-Response  - 16,5,F000*ada8 * 09-04-2025 11:48:46.170
Rack - 1Protocol Started * 09-04-2025 11:48:47.425
Command Sent Rack-1 Picked from L1 - #17,2,2,17564,16380,0,0*c95b  * 09-04-2025 11:48:47.642
CRC-Response  - 17,2,I001,2*7462 * 09-04-2025 11:48:47.858
CRC-Response  - 17,2,F000,2*4b33 * 09-04-2025 11:48:55.34
RA Picked Rack From L1 * 09-04-2025 11:48:55.38
Command Sent Rack-1 Placed in H1 - #18,3,2,2688,1000,0,1*f3aa  * 09-04-2025 11:48:55.583
CRC-Response  - 18,3,I001,2*8893 * 09-04-2025 11:48:55.796
CRC-Response  - 18,3,F000,2*b7c2 * 09-04-2025 11:49:02.673
RA Placed Rack in H1 * 09-04-2025 11:49:02.677
Command Sent HEATER DOOR CLOSE - #19,8,1,0*32c8  * 09-04-2025 11:49:03.515
