Command Sent WATER VALVE - 1 CONTROL OFF - #0,13,1,0*73eb  * 31-03-2025 13:12:19.368
CRC-Response  - 0,13,F000*29e9 * 31-03-2025 13:12:19.660
Command Sent WATER VALVE - 2 CONTROL OFF - #1,13,2,0*bfda  * 31-03-2025 13:12:20.352
CRC-Response  - 1,13,F000*b9e4 * 31-03-2025 13:12:20.620
Command Sent WATER VALVE - 3 CONTROL OFF - #2,13,3,0*6acb  * 31-03-2025 13:12:21.314
CRC-Response  - 2,13,F000*49f0 * 31-03-2025 13:12:21.524
Command Sent WATER VALVE - 4 CONTROL OFF - #3,13,4,0*67bb  * 31-03-2025 13:12:22.186
CRC-Response  - 3,13,F000*d9fd * 31-03-2025 13:12:22.397
Command Sent WATER VALVE - 5 CONTROL OFF - #4,13,5,0*41ab  * 31-03-2025 13:12:23.67
CRC-Response  - 4,13,F000*e9db * 31-03-2025 13:12:23.281
Command Sent WATER VALVE - 6 CONTROL OFF - #5,13,6,0*8d9a  * 31-03-2025 13:12:23.949
CRC-Response  - 5,13,F000*79d6 * 31-03-2025 13:12:24.162
Command Sent Home Command - #6,5,01111111*b1b5  * 31-03-2025 13:12:24.850
CRC-Response  - 6,5,I001,01111111*0f53 * 31-03-2025 13:12:25.58
CRC-Response  - 6,5,F000*c7bb * 31-03-2025 13:12:25.61
Command Sent Home Command - #7,5,01111111*7248  * 31-03-2025 13:12:27.743
CRC-Response  - 7,5,I001,01111111*9f02 * 31-03-2025 13:12:27.957
CRC-Response  - 7,5,F000*0b7a * 31-03-2025 13:12:27.973
Command Sent Level Sensing For L1 - #8,4,17564,16380,0,0*ab6b  * 31-03-2025 13:12:29.701
CRC-Response  - 8,4,I001*4ef9 * 31-03-2025 13:12:29.911
CRC-Response  - 8,4,F000,966*2062 * 31-03-2025 13:12:38.179
L1 Value - 966 * 31-03-2025 13:12:38.212
Command Sent Level Sensing For L2 - #9,4,13934,16380,0,0*534e  * 31-03-2025 13:12:38.613
CRC-Response  - 9,4,I001*8238 * 31-03-2025 13:12:38.830
CRC-Response  - 9,4,F000,966*e39f * 31-03-2025 13:12:41.106
L2 Value - 966 * 31-03-2025 13:12:41.130
