,ps,02-04-2025,-,-,-,35,02-04-2025 17:34:50.494,April,35 - Temperature set to device,0
Water valve,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 17:34:51.872,April,Water Valve : 1 is On,0
Water valve,ps,02-04-2025,W2,Tap Water,--,0,02-04-2025 17:34:52.260,April,Water Valve : 2 is On,0
Water valve,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 17:34:53.133,April,Water Valve : 3 is On,0
Water valve,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 17:34:54.024,April,Water Valve : 4 is On,0
Water valve,ps,02-04-2025,W5,Tap Water,--,0,02-04-2025 17:34:54.899,April,Water Valve : 5 is On,0
Water valve,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 17:34:55.776,April,Water Valve : 6 is On,0
Water valve,ps,02-04-2025,-,-,-,0,02-04-2025 17:35:00.557,April,Home Reached,0
Water valve,ps,02-04-2025,-,-,-,0,02-04-2025 17:35:03.107,April,Home Reached,0
Water valve,ps,02-04-2025,U1,-,-,0,02-04-2025 17:35:09.147,April,Liquid Level - 3905,0
Water valve,ps,02-04-2025,U2,-,-,0,02-04-2025 17:35:12.172,April,Liquid Level - 3901,0
Water valve,ps,02-04-2025,U3,-,-,0,02-04-2025 17:35:15.063,April,Liquid Level - 3900,0
Water valve,ps,02-04-2025,U4,-,-,0,02-04-2025 17:35:17.957,April,Liquid Level - 3902,0
Water valve,ps,02-04-2025,U5,-,-,0,02-04-2025 17:35:20.836,April,Liquid Level - 3907,0
Water valve,ps,02-04-2025,U6,-,-,0,02-04-2025 17:35:23.718,April,Liquid Level - 3897,0
Water valve,ps,02-04-2025,J1,-,-,0,02-04-2025 17:35:29.877,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,J2,-,-,0,02-04-2025 17:35:32.978,April,Liquid Level - 3895,0
Water valve,ps,02-04-2025,J3,-,-,0,02-04-2025 17:35:35.846,April,Liquid Level - 3904,0
Water valve,ps,02-04-2025,J4,-,-,0,02-04-2025 17:35:38.716,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,J5,-,-,0,02-04-2025 17:35:41.616,April,Liquid Level - 3906,0
Water valve,ps,02-04-2025,J6,-,-,0,02-04-2025 17:35:44.485,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,J7,-,-,0,02-04-2025 17:35:47.368,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,J8,-,-,0,02-04-2025 17:35:50.266,April,Liquid Level - 3900,0
Water valve,ps,02-04-2025,J9,-,-,0,02-04-2025 17:35:53.147,April,Liquid Level - 3896,0
Water valve,ps,02-04-2025,J10,-,-,0,02-04-2025 17:35:57.261,April,Liquid Level - 3897,0
Water valve,ps,02-04-2025,J11,-,-,0,02-04-2025 17:36:00.423,April,Liquid Level - 3903,0
Water valve,ps,02-04-2025,J12,-,-,0,02-04-2025 17:36:03.284,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,J13,-,-,0,02-04-2025 17:36:06.157,April,Liquid Level - 3908,0
Water valve,ps,02-04-2025,J14,-,-,0,02-04-2025 17:36:09.206,April,Liquid Level - 3902,0
Water valve,ps,02-04-2025,J15,-,-,0,02-04-2025 17:36:11.911,April,Liquid Level - 3903,0
Water valve,ps,02-04-2025,J16,-,-,0,02-04-2025 17:36:14.799,April,Liquid Level - 3900,0
Water valve,ps,02-04-2025,J17,-,-,0,02-04-2025 17:36:17.682,April,Liquid Level - 3901,0
Water valve,ps,02-04-2025,J18,-,-,0,02-04-2025 17:36:21.774,April,Liquid Level - 3902,0
Water valve,ps,02-04-2025,J19,-,-,0,02-04-2025 17:36:24.926,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,J20,-,-,0,02-04-2025 17:36:27.815,April,Liquid Level - 3905,0
Water valve,ps,02-04-2025,J21,-,-,0,02-04-2025 17:36:30.683,April,Liquid Level - 3902,0
Water valve,ps,02-04-2025,J22,-,-,0,02-04-2025 17:36:33.567,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,J23,-,-,0,02-04-2025 17:36:36.433,April,Liquid Level - 3904,0
Water valve,ps,02-04-2025,J24,-,-,0,02-04-2025 17:36:39.322,April,Liquid Level - 3896,0
Water valve,ps,02-04-2025,J25,-,-,0,02-04-2025 17:36:42.193,April,Liquid Level - 3904,0
Water valve,ps,02-04-2025,J26,-,-,0,02-04-2025 17:36:45.060,April,Liquid Level - 3897,0
Water valve,ps,02-04-2025,J27,-,-,0,02-04-2025 17:36:48.773,April,Liquid Level - 3898,0
Water valve,ps,02-04-2025,J28,-,-,0,02-04-2025 17:36:51.815,April,Liquid Level - 3903,0
Water valve,ps,02-04-2025,J29,-,-,0,02-04-2025 17:36:54.718,April,Liquid Level - 3900,0
Water valve,ps,02-04-2025,J30,-,-,0,02-04-2025 17:36:57.602,April,Liquid Level - 3893,0
Water valve,ps,02-04-2025,J31,-,-,0,02-04-2025 17:37:00.486,April,Liquid Level - 3905,0
Water valve,ps,02-04-2025,J32,-,-,0,02-04-2025 17:37:03.369,April,Liquid Level - 3902,0
Water valve,ps,02-04-2025,J33,-,-,0,02-04-2025 17:37:08.689,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,W1,-,-,0,02-04-2025 17:37:13.688,April,Liquid Level - 3903,0
Water valve,ps,02-04-2025,W2,-,-,0,02-04-2025 17:37:16.520,April,Liquid Level - 3896,0
Water valve,ps,02-04-2025,W3,-,-,0,02-04-2025 17:37:19.426,April,Liquid Level - 3900,0
Water valve,ps,02-04-2025,W4,-,-,0,02-04-2025 17:37:22.502,April,Liquid Level - 3905,0
Water valve,ps,02-04-2025,W6,-,-,0,02-04-2025 17:37:34.167,April,Liquid Level - 3897,0
Water valve,ps,02-04-2025,H1,-,-,0,02-04-2025 17:37:41.077,April,Liquid Level - 3900,0
Water valve,ps,02-04-2025,H2,-,-,0,02-04-2025 17:37:44.020,April,Liquid Level - 3899,0
Water valve,ps,02-04-2025,H3,-,-,0,02-04-2025 17:37:46.888,April,Liquid Level - 3897,0
Water valve,ps,02-04-2025,-,-,-,0,02-04-2025 17:37:59.947,April,Home Reached,0
Water valve,ps,02-04-2025,-,-,-,0,02-04-2025 17:38:02.724,April,Home Reached,0
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:42:04.155,April,Protorun Started,478
H&E,ps,02-04-2025,W1,Tap Water,--,0,02-04-2025 17:42:14.504,April,Water Valve : 1 is Off,478
H&E,ps,02-04-2025,W2,Tap Water,--,0,02-04-2025 17:42:15.392,April,Water Valve : 2 is Off,478
H&E,ps,02-04-2025,W3,Tap Water,--,0,02-04-2025 17:42:16.263,April,Water Valve : 3 is Off,478
H&E,ps,02-04-2025,W4,Tap Water,--,0,02-04-2025 17:42:17.145,April,Water Valve : 4 is Off,478
H&E,ps,02-04-2025,W5,Tap Water,--,0,02-04-2025 17:42:18.018,April,Water Valve : 5 is Off,478
H&E,ps,02-04-2025,W6,Tap Water,--,0,02-04-2025 17:42:18.892,April,Water Valve : 6 is Off,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:42:19.778,April,Home Reached,478
H&E,ps,02-04-2025,-,-,-,0,02-04-2025 17:42:22.682,April,Home Reached,478
H&E,ps,02-04-2025,L1,-,-,0,02-04-2025 17:42:32.910,April,Liquid Level - 483,478
H&E,ps,02-04-2025,L2,-,-,0,02-04-2025 17:42:35.765,April,Liquid Level - 458,478
