,ps,26-03-2025,-,-,-,35,26-03-2025 15:47:01.528,March,35 - Temperature set to device,0
Water valve,ps,26-03-2025,W1,Tap Water,--,0,26-03-2025 15:47:02.926,March,Water Valve : 1 is On,0
Water valve,ps,26-03-2025,W2,Tap Water,--,0,26-03-2025 15:47:03.298,March,Water Valve : 2 is On,0
Water valve,ps,26-03-2025,W3,Tap Water,--,0,26-03-2025 15:47:04.159,March,Water Valve : 3 is On,0
Water valve,ps,26-03-2025,W4,Tap Water,--,0,26-03-2025 15:47:05.045,March,Water Valve : 4 is On,0
Water valve,ps,26-03-2025,W5,Tap Water,--,0,26-03-2025 15:47:06.205,March,Water Valve : 5 is On,0
Water valve,ps,26-03-2025,W6,Tap Water,--,0,26-03-2025 15:47:07.086,March,Water Valve : 6 is On,0
Water valve,ps,26-03-2025,-,-,-,0,26-03-2025 15:47:07.957,March,Home Reached,0
Water valve,ps,26-03-2025,-,-,-,0,26-03-2025 15:47:10.849,March,Home Reached,0
Water valve,ps,26-03-2025,U1,-,-,0,26-03-2025 15:47:22.412,March,Liquid Level - 957,0
Water valve,ps,26-03-2025,U2,-,-,0,26-03-2025 15:47:28.153,March,Liquid Level - 951,0
Water valve,ps,26-03-2025,U3,-,-,0,26-03-2025 15:47:31.081,March,Liquid Level - 959,0
Water valve,ps,26-03-2025,U4,-,-,0,26-03-2025 15:47:33.972,March,Liquid Level - 954,0
Water valve,ps,26-03-2025,U5,-,-,0,26-03-2025 15:47:36.858,March,Liquid Level - 953,0
Water valve,ps,26-03-2025,U6,-,-,0,26-03-2025 15:47:39.758,March,Liquid Level - 957,0
H&E,ps,26-03-2025,-,-,-,0,26-03-2025 15:49:10.789,March,Protorun Started,440
H&E,ps,26-03-2025,W1,Tap Water,--,0,26-03-2025 15:49:21.236,March,Water Valve : 1 is Off,440
H&E,ps,26-03-2025,W2,Tap Water,--,0,26-03-2025 15:49:22.122,March,Water Valve : 2 is Off,440
H&E,ps,26-03-2025,W3,Tap Water,--,0,26-03-2025 15:49:22.986,March,Water Valve : 3 is Off,440
H&E,ps,26-03-2025,W4,Tap Water,--,0,26-03-2025 15:49:23.851,March,Water Valve : 4 is Off,440
H&E,ps,26-03-2025,W5,Tap Water,--,0,26-03-2025 15:49:24.733,March,Water Valve : 5 is Off,440
H&E,ps,26-03-2025,W6,Tap Water,--,0,26-03-2025 15:49:25.600,March,Water Valve : 6 is Off,440
H&E,ps,26-03-2025,-,-,-,0,26-03-2025 15:49:26.489,March,Home Reached,440
H&E,ps,26-03-2025,-,-,-,0,26-03-2025 15:49:29.384,March,Home Reached,440
H&E,ps,26-03-2025,L1,-,-,0,26-03-2025 15:49:39.550,March,Liquid Level - 955,440
H&E,ps,26-03-2025,L2,-,-,0,26-03-2025 15:49:42.500,March,Liquid Level - 953,440
H&E,ps,26-03-2025,L3,-,-,0,26-03-2025 15:49:45.373,March,Liquid Level - 954,440
H&E,ps,26-03-2025,-,-,-,0,26-03-2025 15:49:45.960,March,Home Reached,440
H&E,ps,26-03-2025,-,-,-,0,26-03-2025 15:49:47.840,March,Home Reached,440
H&E,ps,26-03-2025,,,R1,0,26-03-2025 15:49:49.102,March,Test Started,440
H&E,ps,26-03-2025,L1,Loading,R1,0,26-03-2025 15:50:00.640,March,Picked From,440
H&E,ps,26-03-2025,J13,XYLENE-1,R1,0,26-03-2025 15:50:11.569,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:50:16.619,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:50:27.037,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:50:37.435,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:50:47.814,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:50:58.184,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:51:08.549,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:51:18.930,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:51:29.321,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:51:39.718,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:51:50.099,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:52:01.474,March,Device temperature ,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:52:11.861,March,Device temperature ,440
H&E,ps,26-03-2025,J13,XYLENE-1,R1,0,26-03-2025 15:52:17.812,March,Picked From,440
H&E,ps,26-03-2025,J12,XYLENE-2,R1,0,26-03-2025 15:52:24.243,March,Placed In,440
H&E,ps,26-03-2025,-,-,-,-273,26-03-2025 15:52:28.346,March,Device temperature ,440
